ADDRESS,BUY_AREA,RENT_AREA,ROOM_COUNT,SALES_PRICE,ANNUAL_RENT
Можайское ш., 2,140,190,3,48857143,3240000
Можайское ш., 2,136,176,3,33634118,2640000
Богданова ул., 6к1,103,80,3,17400000,849750
Можайское ш., 2,235,150,3,48900000,1880000
Можайское ш., 2,140,150,3,38571429,1200000
Можайское ш., 2,136,92,3,25990000,1773913
Дмитриевского ул., 17,86,79,3,12400000,640101
Академика Анохина ул., 56,88,3,95,3,20872027,960000
Мурановская ул., 19,65,2,65,3,11300000,601846
Пятницкое ш., 14,74,70,3,12000000,634286
Можайское ш., 2,235,190,3,48900000,4007368
