STOCK_NAME,STOCK_DATE,AMT
Сбербанк,08.06.2005,   5.291158
Сбербанк,09.06.2005,   5.272816
Сбербанк,10.06.2005,   5.286040
Сбербанк,11.06.2005,   5.284916
Сбербанк,12.06.2005,   5.283792
Сбербанк,13.06.2005,   5.282668
Сбербанк,14.06.2005,   5.302471
Сбербанк,15.06.2005,   5.278989
Сбербанк,16.06.2005,   5.317981
Сбербанк,17.06.2005,   5.321433
Сбербанк,18.06.2005,   5.320302
Сбербанк,19.06.2005,   5.319171
Сбербанк,20.06.2005,   5.296276
Сбербанк,21.06.2005,   5.269968
Сбербанк,22.06.2005,   5.269992
Сбербанк,23.06.2005,   5.413067
Сбербанк,24.06.2005,   5.434800
Сбербанк,25.06.2005,   5.433644
Сбербанк,26.06.2005,   5.432489
Сбербанк,27.06.2005,   5.394201
Сбербанк,28.06.2005,   5.384451
Сбербанк,29.06.2005,   5.406165
Сбербанк,30.06.2005,   5.479292
Сбербанк,01.07.2005,   5.492408
Сбербанк,02.07.2005,   5.491595
Сбербанк,03.07.2005,   5.490782
Сбербанк,04.07.2005,   5.478835
Сбербанк,05.07.2005,   5.507710
Сбербанк,06.07.2005,   5.751487
Сбербанк,07.07.2005,   5.806281
Сбербанк,08.07.2005,   5.958925
Сбербанк,09.07.2005,   5.958042
Сбербанк,10.07.2005,   5.957160
Сбербанк,11.07.2005,   5.986518
Сбербанк,12.07.2005,   5.934010
Сбербанк,13.07.2005,   6.029499
Сбербанк,14.07.2005,   5.986416
Сбербанк,15.07.2005,   5.962728
Сбербанк,16.07.2005,   5.961845
Сбербанк,17.07.2005,   5.960963
Сбербанк,18.07.2005,   5.903386
Сбербанк,19.07.2005,   6.051777
Сбербанк,20.07.2005,   6.034931
Сбербанк,21.07.2005,   6.069919
Сбербанк,22.07.2005,   6.289692
Сбербанк,23.07.2005,   6.288761
Сбербанк,24.07.2005,   6.287830
Сбербанк,25.07.2005,   6.601380
Сбербанк,26.07.2005,   6.309012
Сбербанк,27.07.2005,   6.316329
Сбербанк,28.07.2005,   6.301170
Сбербанк,29.07.2005,   6.218036
Сбербанк,30.07.2005,   6.217115
Сбербанк,31.07.2005,   6.216195
Сбербанк,01.08.2005,   6.280381
Сбербанк,02.08.2005,   6.326157
Сбербанк,03.08.2005,   6.178589
Сбербанк,04.08.2005,   6.426250
Сбербанк,05.08.2005,   6.437915
Сбербанк,06.08.2005,   6.438206
Сбербанк,07.08.2005,   6.438497
Сбербанк,08.08.2005,   6.418874
Сбербанк,09.08.2005,   6.362291
Сбербанк,10.08.2005,   6.370255
Сбербанк,11.08.2005,   6.285780
Сбербанк,12.08.2005,   6.239983
Сбербанк,13.08.2005,   6.240265
Сбербанк,14.08.2005,   6.240547
Сбербанк,15.08.2005,   6.372548
Сбербанк,16.08.2005,   6.523053
Сбербанк,17.08.2005,   6.742993
Сбербанк,18.08.2005,   6.780286
Сбербанк,19.08.2005,   6.891432
Сбербанк,20.08.2005,   6.891744
Сбербанк,21.08.2005,   6.892055
Сбербанк,22.08.2005,   7.162847
Сбербанк,23.08.2005,   7.285545
Сбербанк,24.08.2005,   7.271641
Сбербанк,25.08.2005,   7.203668
Сбербанк,26.08.2005,   7.144503
Сбербанк,27.08.2005,   7.144826
Сбербанк,28.08.2005,   7.145148
Сбербанк,29.08.2005,   7.202120
Сбербанк,30.08.2005,   7.226644
Сбербанк,31.08.2005,   7.262557
Сбербанк,01.09.2005,   7.260041
Сбербанк,02.09.2005,   7.295020
Сбербанк,03.09.2005,   7.294413
Сбербанк,04.09.2005,   7.293805
Сбербанк,05.09.2005,   7.203545
Сбербанк,06.09.2005,   6.944027
Сбербанк,07.09.2005,   6.903553
Сбербанк,08.09.2005,   7.255807
Сбербанк,09.09.2005,   7.297878
Сбербанк,10.09.2005,   7.297271
Сбербанк,11.09.2005,   7.296663
Сбербанк,12.09.2005,   7.227797
Сбербанк,13.09.2005,   7.366276
Сбербанк,14.09.2005,   7.264985
Сбербанк,15.09.2005,   7.276893
Сбербанк,16.09.2005,   7.329746
Сбербанк,17.09.2005,   7.329136
Сбербанк,18.09.2005,   7.328526
Сбербанк,19.09.2005,   7.413769
Сбербанк,20.09.2005,   7.632599
Сбербанк,21.09.2005,   7.674314
Сбербанк,22.09.2005,   7.567949
Сбербанк,23.09.2005,   7.652291
Сбербанк,24.09.2005,   7.651654
Сбербанк,25.09.2005,   7.651018
Сбербанк,26.09.2005,   7.585887
Сбербанк,27.09.2005,   7.669915
Сбербанк,28.09.2005,   7.812163
Сбербанк,29.09.2005,   7.683408
Сбербанк,30.09.2005,   7.779336
Сбербанк,01.10.2005,   7.778689
Сбербанк,02.10.2005,   7.777312
Сбербанк,03.10.2005,   7.827004
Сбербанк,04.10.2005,   7.791623
Сбербанк,05.10.2005,   7.621936
Сбербанк,06.10.2005,   7.376835
Сбербанк,07.10.2005,   7.248721
Сбербанк,08.10.2005,   7.247439
Сбербанк,09.10.2005,   7.246156
Сбербанк,10.10.2005,   7.584843
Сбербанк,11.10.2005,   7.643318
Сбербанк,12.10.2005,   7.426264
Сбербанк,13.10.2005,   7.167061
Сбербанк,14.10.2005,   6.922683
Сбербанк,15.10.2005,   6.921458
Сбербанк,16.10.2005,   6.920234
Сбербанк,17.10.2005,   6.995189
Сбербанк,18.10.2005,   7.047182
Сбербанк,19.10.2005,   6.744723
Сбербанк,20.10.2005,   6.818531
Сбербанк,21.10.2005,   6.753657
Сбербанк,22.10.2005,   6.752462
Сбербанк,23.10.2005,   6.751267
Сбербанк,24.10.2005,   6.869999
Сбербанк,25.10.2005,   6.760190
Сбербанк,26.10.2005,   6.927227
Сбербанк,27.10.2005,   6.742250
Сбербанк,28.10.2005,   6.931842
Сбербанк,29.10.2005,   6.930616
Сбербанк,30.10.2005,   6.929390
Сбербанк,31.10.2005,   7.169414
Сбербанк,01.11.2005,   7.167015
Сбербанк,02.11.2005,   7.440567
Сбербанк,03.11.2005,   7.557309
Сбербанк,04.11.2005,   7.555452
Сбербанк,05.11.2005,   7.553596
Сбербанк,06.11.2005,   7.551739
Сбербанк,07.11.2005,   7.645779
Сбербанк,08.11.2005,   7.639665
Сбербанк,09.11.2005,   7.691347
Сбербанк,10.11.2005,   7.848685
Сбербанк,11.11.2005,   7.987350
Сбербанк,12.11.2005,   7.985387
Сбербанк,13.11.2005,   7.983425
Сбербанк,14.11.2005,   8.396458
Сбербанк,15.11.2005,   8.829834
Сбербанк,16.11.2005,   8.591285
Сбербанк,17.11.2005,   8.805802
Сбербанк,18.11.2005,   8.747666
Сбербанк,19.11.2005,   8.745517
Сбербанк,20.11.2005,   8.743368
Сбербанк,21.11.2005,   8.803614
Сбербанк,22.11.2005,   8.763798
Сбербанк,23.11.2005,   8.764735
Сбербанк,24.11.2005,   8.785049
Сбербанк,25.11.2005,   8.842972
Сбербанк,26.11.2005,   8.840800
Сбербанк,27.11.2005,   8.838627
Сбербанк,28.11.2005,   8.972821
Сбербанк,29.11.2005,   8.878049
Сбербанк,30.11.2005,   8.933752
Сбербанк,01.12.2005,   9.252184
Сбербанк,02.12.2005,   9.557792
Сбербанк,03.12.2005,   9.555274
Сбербанк,04.12.2005,   9.552757
Сбербанк,05.12.2005,   9.585531
Сбербанк,06.12.2005,   9.472730
Сбербанк,07.12.2005,   9.721844
Сбербанк,08.12.2005,   9.654917
Сбербанк,09.12.2005,   9.704133
Сбербанк,10.12.2005,   9.701577
Сбербанк,11.12.2005,   9.699022
Сбербанк,12.12.2005,   9.795151
Сбербанк,13.12.2005,   9.745618
Сбербанк,14.12.2005,   9.669566
Сбербанк,15.12.2005,   9.699142
Сбербанк,16.12.2005,   9.687651
Сбербанк,17.12.2005,   9.685099
Сбербанк,18.12.2005,   9.682548
Сбербанк,19.12.2005,   9.722971
Сбербанк,20.12.2005,   9.666289
Сбербанк,21.12.2005,   9.713945
Сбербанк,22.12.2005,  10.308066
Сбербанк,23.12.2005,  10.425210
Сбербанк,24.12.2005,  10.422464
Сбербанк,25.12.2005,  10.419719
Сбербанк,26.12.2005,  10.563205
Сбербанк,27.12.2005,  10.501955
Сбербанк,28.12.2005,  10.372795
Сбербанк,29.12.2005,  10.542336
Сбербанк,30.12.2005,  10.475565
Сбербанк,31.12.2005,  10.472805
Сбербанк,01.01.2006,  10.470047
Сбербанк,02.01.2006,  10.461941
Сбербанк,03.01.2006,  10.453841
Сбербанк,04.01.2006,  10.445748
Сбербанк,05.01.2006,  10.437661
Сбербанк,06.01.2006,  10.429580
Сбербанк,07.01.2006,  10.421505
Сбербанк,08.01.2006,  10.413437
Сбербанк,09.01.2006,  10.405375
Сбербанк,10.01.2006,  11.068381
Сбербанк,11.01.2006,  11.617218
Сбербанк,12.01.2006,  13.097992
Сбербанк,13.01.2006,  12.538747
Сбербанк,14.01.2006,  12.529040
Сбербанк,15.01.2006,  12.519340
Сбербанк,16.01.2006,  12.597608
Сбербанк,17.01.2006,  11.838025
Сбербанк,18.01.2006,  11.118028
Сбербанк,19.01.2006,  11.841636
Сбербанк,20.01.2006,  12.084572
Сбербанк,21.01.2006,  12.075217
Сбербанк,22.01.2006,  12.065868
Сбербанк,23.01.2006,  11.427731
Сбербанк,24.01.2006,  11.691243
Сбербанк,25.01.2006,  11.821137
Сбербанк,26.01.2006,  11.622142
Сбербанк,27.01.2006,  11.855736
Сбербанк,28.01.2006,  11.846558
Сбербанк,29.01.2006,  11.837386
Сбербанк,30.01.2006,  11.482865
Сбербанк,31.01.2006,  11.332419
Сбербанк,01.02.2006,  11.530250
Сбербанк,02.02.2006,  11.531613
Сбербанк,03.02.2006,  10.982763
Сбербанк,04.02.2006,  10.976307
Сбербанк,05.02.2006,  10.969855
Сбербанк,06.02.2006,  11.369175
Сбербанк,07.02.2006,  11.296509
Сбербанк,08.02.2006,  11.599149
Сбербанк,09.02.2006,  12.159791
Сбербанк,10.02.2006,  11.909866
Сбербанк,11.02.2006,  11.902865
Сбербанк,12.02.2006,  11.895868
Сбербанк,13.02.2006,  11.783733
Сбербанк,14.02.2006,  11.962439
Сбербанк,15.02.2006,  11.823467
Сбербанк,16.02.2006,  11.908022
Сбербанк,17.02.2006,  12.183411
Сбербанк,18.02.2006,  12.176249
Сбербанк,19.02.2006,  12.169092
Сбербанк,20.02.2006,  12.293492
Сбербанк,21.02.2006,  11.940136
Сбербанк,22.02.2006,  11.992112
Сбербанк,23.02.2006,  11.985063
Сбербанк,24.02.2006,  11.978018
Сбербанк,25.02.2006,  11.970977
Сбербанк,26.02.2006,  12.266249
Сбербанк,27.02.2006,  11.992230
Сбербанк,28.02.2006,  11.464082
Сбербанк,01.03.2006,  11.430103
Сбербанк,02.03.2006,  11.461800
Сбербанк,03.03.2006,  11.410736
Сбербанк,04.03.2006,  11.407731
Сбербанк,05.03.2006,  11.404726
Сбербанк,06.03.2006,  11.308374
Сбербанк,07.03.2006,  10.799319
Сбербанк,08.03.2006,  10.796475
Сбербанк,09.03.2006,  10.471957
Сбербанк,10.03.2006,  10.523829
Сбербанк,11.03.2006,  10.521057
Сбербанк,12.03.2006,  10.518286
Сбербанк,13.03.2006,  10.848284
Сбербанк,14.03.2006,  10.454459
Сбербанк,15.03.2006,  10.450109
Сбербанк,16.03.2006,  10.400540
Сбербанк,17.03.2006,  10.584221
Сбербанк,18.03.2006,  10.581433
Сбербанк,19.03.2006,  10.578646
Сбербанк,20.03.2006,  10.660094
Сбербанк,21.03.2006,  10.650113
Сбербанк,22.03.2006,  10.695113
Сбербанк,23.03.2006,  11.002949
Сбербанк,24.03.2006,  10.893634
Сбербанк,25.03.2006,  10.890764
Сбербанк,26.03.2006,  10.887896
Сбербанк,27.03.2006,  10.951576
Сбербанк,28.03.2006,  10.672911
Сбербанк,29.03.2006,  10.537559
Сбербанк,30.03.2006,  10.905820
Сбербанк,31.03.2006,  10.907982
Сбербанк,01.04.2006,  10.905108
Сбербанк,02.04.2006,  10.903839
Сбербанк,03.04.2006,  10.950499
Сбербанк,04.04.2006,  10.816830
Сбербанк,05.04.2006,  11.093307
Сбербанк,06.04.2006,  11.025567
Сбербанк,07.04.2006,  11.090988
Сбербанк,08.04.2006,  11.089696
Сбербанк,09.04.2006,  11.088405
Сбербанк,10.04.2006,  11.430840
Сбербанк,11.04.2006,  11.325265
Сбербанк,12.04.2006,  11.531616
Сбербанк,13.04.2006,  11.360985
Сбербанк,14.04.2006,  11.470040
Сбербанк,15.04.2006,  11.468704
Сбербанк,16.04.2006,  11.467369
Сбербанк,17.04.2006,  11.482587
Сбербанк,18.04.2006,  11.512989
Сбербанк,19.04.2006,  11.538079
Сбербанк,20.04.2006,  11.233056
Сбербанк,21.04.2006,  11.308116
Сбербанк,22.04.2006,  11.306800
Сбербанк,23.04.2006,  11.305483
Сбербанк,24.04.2006,  11.253975
Сбербанк,25.04.2006,  11.339833
Сбербанк,26.04.2006,  12.547373
Сбербанк,27.04.2006,  12.227160
Сбербанк,28.04.2006,  12.984901
Сбербанк,29.04.2006,  12.983389
Сбербанк,30.04.2006,  12.981877
Сбербанк,01.05.2006,  12.980365
Сбербанк,02.05.2006,  13.680775
Сбербанк,03.05.2006,  13.163263
Сбербанк,04.05.2006,  13.200995
Сбербанк,05.05.2006,  13.225725
Сбербанк,06.05.2006,  13.382414
Сбербанк,07.05.2006,  13.380347
Сбербанк,08.05.2006,  13.378280
Сбербанк,09.05.2006,  13.376214
Сбербанк,10.05.2006,  12.849894
Сбербанк,11.05.2006,  12.418033
Сбербанк,12.05.2006,  12.262031
Сбербанк,13.05.2006,  12.260137
Сбербанк,14.05.2006,  12.258243
Сбербанк,15.05.2006,  11.604031
Сбербанк,16.05.2006,  11.668389
Сбербанк,17.05.2006,  11.110768
Сбербанк,18.05.2006,  11.133124
Сбербанк,19.05.2006,  10.978014
Сбербанк,20.05.2006,  10.976319
Сбербанк,21.05.2006,  10.974623
Сбербанк,22.05.2006,   9.738438
Сбербанк,23.05.2006,  11.047881
Сбербанк,24.05.2006,  10.665637
Сбербанк,25.05.2006,  11.447674
Сбербанк,26.05.2006,  11.769260
Сбербанк,27.05.2006,  11.767442
Сбербанк,28.05.2006,  11.765625
Сбербанк,29.05.2006,  11.309630
Сбербанк,30.05.2006,  11.323721
Сбербанк,31.05.2006,  11.390606
Сбербанк,01.06.2006,  11.952337
Сбербанк,02.06.2006,  12.575388
Сбербанк,03.06.2006,  12.574216
Сбербанк,04.06.2006,  12.573044
Сбербанк,05.06.2006,  12.519104
Сбербанк,06.06.2006,  11.742340
Сбербанк,07.06.2006,  11.917971
Сбербанк,08.06.2006,  10.985773
Сбербанк,09.06.2006,  11.335523
