RATING,STOCK_NAME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Кол-во лет, когда ставка больше 1.045,Кол-во лет, когда торгуется акция,Доля лет с повышенной ставкой
13,КАМАЗ, 1.71062, 2.21014, 0.15705, 2.64545, 1.03038, 0.45847, 1.00012, 1.32061, 0.45777, 1.20434, 1.30687, 1.05772, 0.99045, 1.09368, 1.02131,8,15, 0.53300
13,СОЛЛЕРС, 1.45314, 1.50121, 0.08286, 3.19482, 1.40329, 0.44568, 2.09321, 1.25555, 0.39419, 1.01751, 1.26312, 1.13416, 0.62926, 0.66012, 0.91048,8,15, 0.53300
13,Транснф ап, 0.80161, 0.73123, 0.12494, 3.18016, 1.49542, 1.24588, 1.32402, 1.17949, 1.32964, 1.37087, 0.97287, 0.92260, 0.94669, 1.06188, 0.81407,8,15, 0.53300
14,Лензол. ап,-,-,-,-, 3.95292, 1.47555, 1.18106, 1.03644, 0.81376, 1.82722, 1.54534, 0.77875, 0.67337, 1.29447, 1.19503,7,11, 0.63600
15,ЧеркизГ-ао,-,-,-, 5.94717, 1.81841, 0.61650, 0.89228, 1.01389, 1.12270, 1.43421, 0.72099, 1.48386, 1.02825, 1.61650, 1.14029,7,12, 0.58300
15,МРСК ЦП,-,-,-, 1.92632, 1.50248, 0.45996, 1.12260, 0.37274, 1.34577, 0.59750, 2.45406, 2.10523, 0.93831, 0.99072, 1.07099,7,12, 0.58300
15,НКНХ ао,-,-,-, 2.73254, 1.48443, 0.96295, 1.30722, 0.91633, 0.73302, 1.97638, 1.74323, 0.65889, 1.21314, 1.80553, 0.97556,7,12, 0.58300
16,ТМК ао,-,-, 0.09820, 4.06855, 1.09777, 0.45351, 1.23487, 0.97878, 0.33790, 1.61010, 1.27260, 0.93316, 0.71465, 1.08973, 1.04636,7,13, 0.53800
16,Система ао,-,-, 0.09796, 4.87474, 1.05267, 0.81254, 1.03715, 1.70260, 0.23872, 1.39999, 1.30052, 0.57077, 0.64162, 1.86382, 1.80790,7,13, 0.53800
16,ПИК ао,-,-, 0.03341, 4.05297, 0.91546, 0.59370, 0.81843, 0.98132, 2.44562, 1.03583, 1.25682, 1.09830, 1.16820, 1.08843, 1.46838,7,13, 0.53800
16,Таттел. ао,-,-, 0.18086, 2.86902, 1.11033, 1.08505, 0.83357, 0.85439, 0.94094, 0.88732, 1.08618, 0.97617, 1.26253, 1.39178, 1.83414,7,13, 0.53800
17,АстрЭнСб, 3.12018, 0.55370, 0.37820, 2.92233, 1.31698, 0.55583, 0.81277, 0.40098, 0.64144, 1.89835, 0.97345, 1.21696, 0.92279, 1.19600, 1.28467,7,15, 0.46700
17,ИркЭнерго, 1.72563, 1.25176, 0.23126, 1.60083, 1.83408, 0.53634, 1.03241, 0.45166, 0.74097, 1.32155, 1.76324, 1.10296, 0.82597, 0.91766, 0.79544,7,15, 0.46700
17,Аэрофлот, 1.33509, 1.46639, 0.26487, 1.75969, 1.40830, 0.59997, 0.86945, 1.78135, 0.35875, 1.54200, 2.58595, 0.94677, 0.76138, 1.01393, 0.65810,7,15, 0.46700
18,ПРОТЕК ао,-,-,-,-,-, 0.26427, 1.55926, 1.53320, 0.71685, 1.38435, 1.54406, 1.07661, 0.68210, 1.24803, 0.94678,6,10, 0.60000
18,БашИнСв ап,-,-,-,-,-, 0.97974, 1.25487, 0.86426, 0.66286, 1.06205, 1.06613, 0.94845, 1.09290, 1.64532, 1.57587,6,10, 0.60000
19,ЧТПЗ ао,-,-,-,-, 1.18590, 0.67001, 0.67598, 0.64211, 1.29901, 0.88371, 2.34929, 1.36765, 0.80810, 2.04798, 1.26240,6,11, 0.54500
20,МРСКСиб,-,-,-, 3.15066, 1.15236, 0.32866, 0.77153, 0.77621, 1.14730, 0.48243, 1.62788, 1.33450, 0.88549, 2.93483, 0.73335,6,12, 0.50000
20,ФСК ЕЭС ао,-,-,-, 2.37229, 1.06045, 0.72169, 0.67118, 0.42136, 0.45796, 1.16215, 3.49725, 0.83848, 0.94155, 1.41867, 1.14600,6,12, 0.50000
20,РусГидро,-,-,-, 1.73199, 1.33258, 0.55518, 0.71919, 0.73836, 0.87194, 1.13947, 1.36819, 0.80679, 0.66088, 1.16999, 1.40102,6,12, 0.50000
21,Роснефть,-, 0.85630, 0.42515, 2.10899, 0.80511, 0.92968, 1.22315, 0.90331, 0.73068, 1.18146, 1.55663, 0.72460, 1.48293, 1.06703, 0.96208,6,14, 0.42900
21,Магнит ао,-, 1.15413, 0.33033, 4.20384, 1.74195, 0.65464, 1.60552, 1.83713, 0.97100, 1.04252, 0.96327, 0.57128, 0.56352, 0.98428, 1.70016,6,14, 0.42900
21,ОГК-2 ао,-, 0.91424, 0.06083, 3.27443, 1.79624, 0.39534, 0.43065, 0.69367, 0.56953, 1.25958, 2.16738, 0.88696, 0.70434, 1.82623, 1.31372,6,14, 0.42900
22,Ленэнерго, 1.40714, 0.88936, 0.25340, 1.76432, 0.94883, 0.36030, 0.61806, 0.34263, 0.68655, 1.15926, 2.28782, 0.86985, 1.08137, 1.29609, 0.83322,6,15, 0.40000
22,+МосЭнерго, 1.17640, 1.01620, 0.14145, 3.16904, 0.90760, 0.50369, 0.74406, 0.62999, 0.68636, 1.14444, 2.95927, 1.06523, 0.80494, 1.14108, 0.91487,6,15, 0.40000
22,Мегион-ап, 0.67928, 0.62953, 0.15774, 2.25095, 1.22230, 0.76433, 1.38332, 1.26752, 1.36167, 0.75006, 0.62477, 0.82149, 0.82578, 1.08747, 0.77510,6,15, 0.40000
22,ЛУКОЙЛ, 1.24359, 0.82219, 0.41896, 1.65655, 0.97243, 0.94580, 1.16580, 1.00035, 1.02891, 0.98905, 1.47212, 0.99918, 1.50034, 1.26200, 0.85327,6,15, 0.40000
22,Возрожд-п, 1.90753, 1.18205, 0.09722, 4.45668, 0.91615, 0.51962, 0.53262, 0.80131, 0.52782, 1.91001, 1.09897, 0.82033, 1.03710, 2.09275, 0.75501,6,15, 0.40000
22,ИРКУТ-3, 1.18665, 0.74500, 0.13325, 2.14229, 1.16670, 0.54433, 0.95599, 0.87896, 0.89824, 1.63440, 0.85191, 1.49846, 2.38115, 0.95658, 0.67731,6,15, 0.40000
23,Polymetal,-,-,-,-,-,-,-,-, 1.52580, 1.13631, 1.01135, 1.10447, 1.03621, 1.33998, 1.77320,5,7, 0.71400
24,Химпром ап,-,-,-,-,-,-, 1.14960, 1.08818, 0.95835, 0.90319, 6.80671, 0.84645, 1.12097, 1.04007, 1.29230,5,9, 0.55600
24,АЛРОСА ао,-,-,-,-,-,-, 0.93742, 1.15133, 1.63124, 0.80094, 1.69549, 0.81819, 1.38673, 0.90890, 1.15972,5,9, 0.55600
24,Башнефт ап,-,-,-,-,-,-, 1.25150, 1.17046, 0.64457, 1.77274, 0.73213, 1.17475, 1.37179, 1.01578, 0.68673,5,9, 0.55600
24,СаратНПЗ-п,-,-,-,-,-,-, 1.07838, 2.66900, 0.55337, 1.44332, 0.73938, 1.29609, 0.94587, 1.56906, 0.98692,5,9, 0.55600
24,Башнефт ао,-,-,-,-,-,-, 1.29771, 1.18442, 0.60652, 1.48256, 1.80359, 0.65290, 0.84192, 1.07425, 0.86271,5,9, 0.55600
25,Телеграф,-,-,-,-, 3.24589, 0.40593, 0.60757, 0.77779, 0.71442, 1.55383, 1.07366, 0.71046, 0.88954, 1.39818, 1.28677,5,11, 0.45500
26,МРСКВол,-,-,-, 1.78365, 1.27334, 0.41895, 0.89632, 0.29112, 1.10508, 0.61988, 2.83749, 1.94838, 1.01228, 0.98475, 0.82428,5,12, 0.41700
26,МРСК Центр,-,-,-, 1.93504, 1.49526, 0.45096, 0.92424, 0.35635, 1.04462, 0.73349, 2.26021, 0.84840, 0.80934, 1.14471, 1.27840,5,12, 0.41700
26,Мечел ао,-,-,-, 4.01220, 1.66695, 0.29346, 0.73175, 0.30493, 0.33395, 2.32677, 2.65064, 0.79522, 0.47703, 0.83409, 1.19443,5,12, 0.41700
26,МРСК Ур,-,-,-, 2.77917, 1.18916, 0.59497, 0.97180, 0.28154, 0.87391, 1.46562, 1.81336, 1.29926, 0.92336, 0.88047, 0.96452,5,12, 0.41700
26,БСП ао,-,-,-, 2.33672, 1.86350, 0.40223, 0.64547, 0.79391, 0.52446, 1.65063, 1.47946, 0.80555, 0.80307, 1.31209, 0.92407,5,12, 0.41700
27,ВТБ ао,-,-, 0.23713, 1.92761, 1.34642, 0.55083, 0.86716, 0.89330, 1.24233, 1.06822, 0.89454, 0.63330, 0.73008, 1.34694, 0.80285,5,13, 0.38500
27,НМТП ао,-,-, 0.46387, 1.36048, 0.79646, 0.73368, 0.84651, 0.93948, 0.37166, 3.19938, 1.82969, 1.27493, 0.89255, 1.39353, 0.96513,5,13, 0.38500
28,ВХЗ-ао,-, 1.76135, 0.36224, 1.31305, 2.31377, 0.53978, 1.50583, 0.65801, 0.61210, 0.91402, 0.80675, 0.79454, 0.61823, 0.92872, 1.19823,5,14, 0.35700
29,Возрожд-ао, 1.57683, 1.03713, 0.14275, 4.01753, 1.06771, 0.37430, 0.92691, 0.77466, 0.83380, 1.30621, 1.17386, 0.65208, 0.91240, 0.97972, 0.95343,5,15, 0.33300
29,Сургнфгз, 1.20501, 0.66724, 0.50684, 1.51994, 1.12121, 0.75095, 1.01446, 1.01131, 0.76022, 1.30143, 0.87843, 0.89611, 0.94286, 1.86155, 0.69012,5,15, 0.33300
29,Ростел -ао, 2.80687, 1.33230, 0.81549, 0.51785, 0.98319, 0.92115, 0.76460, 0.88181, 0.72597, 0.95248, 0.93211, 0.79383, 1.16374, 1.10146, 1.22726,5,15, 0.33300
29,Мегион-ао, 0.97700, 0.60936, 0.16289, 2.39212, 1.13447, 0.82171, 0.85348, 1.22611, 1.15319, 0.76778, 0.74031, 0.82544, 0.72452, 1.07989, 0.81723,5,15, 0.33300
30,Полюс,-,-,-,-,-,-,-,-,-,-,-, 1.06706, 1.19584, 1.33398, 2.09515,4,4, 1.00000
31,МКБ ао,-,-,-,-,-,-,-,-,-,-, 1.07400, 1.07580, 1.04590, 1.12131, 0.99770,4,5, 0.80000
32,ОргСинт ап,-,-,-,-,-,-,-, 1.18471, 0.89141, 1.46772, 0.90569, 2.12701, 1.00391, 1.01231, 1.23339,4,8, 0.50000
32,Селигдар-п,-,-,-,-,-,-,-, 1.03122, 0.93910, 0.72399, 0.58509, 1.21656, 1.35959, 1.26064, 1.50685,4,8, 0.50000
33,Телеграф-п,-,-,-,-,-,-, 0.50780, 0.84608, 0.67669, 1.54210, 0.74048, 1.99908, 0.94559, 1.66703, 1.39388,4,9, 0.44400
33,Селигдар,-,-,-,-,-,-, 0.80552, 0.51844, 0.89310, 0.93047, 1.73151, 1.06411, 0.95739, 1.26250, 3.89188,4,9, 0.44400
33,ФосАгро ао,-,-,-,-,-,-, 1.53091, 0.73606, 1.61355, 1.59288, 0.93789, 0.97655, 1.01509, 1.00168, 1.36147,4,9, 0.44400
34,КузбТК ао,-,-,-,-,-, 0.66633, 0.71392, 0.44955, 1.22530, 0.67919, 1.40139, 1.52820, 1.38632, 0.97762, 0.75053,4,10, 0.40000
34,ТрансК ао,-,-,-,-,-, 0.82687, 1.48285, 0.76231, 0.67579, 0.78481, 1.60927, 1.22883, 0.91198, 1.85267, 0.99030,4,10, 0.40000
34,ЗаводДИОД,-,-,-,-,-, 0.47425, 0.39189, 0.53584, 0.77294, 1.10082, 0.73669, 1.53809, 0.76148, 1.12517, 1.40696,4,10, 0.40000
34,Мостотрест,-,-,-,-,-, 0.73513, 0.94389, 0.72148, 0.47390, 1.09274, 1.24213, 1.79989, 0.55832, 1.30364, 0.96563,4,10, 0.40000
35,ИнтерРАОао,-,-,-,-, 0.92155, 0.68382, 0.66806, 0.37840, 0.63989, 1.37724, 3.31924, 0.89281, 1.12529, 1.30829, 1.03679,4,11, 0.36400
36,МРСК СК,-,-,-, 5.01314, 1.21605, 0.27585, 0.48140, 0.61660, 0.73681, 0.91518, 1.67423, 0.84943, 0.69950, 2.07975, 0.84283,4,12, 0.33300
36,МРСКЮга ао,-,-,-, 3.29464, 0.91861, 0.35020, 0.73257, 0.58245, 0.86586, 0.89450, 1.70301, 1.11329, 0.94559, 1.19929, 0.73643,4,12, 0.33300
37,ТГК-1,-,-, 0.09381, 4.46114, 1.20044, 0.40817, 0.69868, 0.91793, 0.62998, 0.84944, 3.55550, 0.79675, 0.66937, 1.64937, 0.88768,4,13, 0.30800
38,ГАЗПРОМ ао,-, 1.02147, 0.28005, 1.56122, 0.98496, 0.84855, 0.82420, 0.94362, 0.88182, 0.96538, 1.13098, 0.87149, 1.18576, 1.72848, 0.84925,4,14, 0.28600
39,MCFTRR,-,-,-,-,-,-,-,-,-,-,-, 0.96681, 1.13375, 1.33088, 1.08599,3,4, 0.75000
40,ВСМПО-АВСМ,-,-,-,-,-,-,-,-,-,-, 1.15840, 1.32911, 0.95879, 1.38948, 0.97780,3,5, 0.60000
40,НКХП ао,-,-,-,-,-,-,-,-,-,-, 0.48101, 1.09809, 1.02316, 1.07933, 1.30245,3,5, 0.60000
41,AGRO-гдр,-,-,-,-,-,-,-,-,-, 3.37936, 0.80929, 0.73092, 1.37830, 0.82621, 1.30186,3,6, 0.50000
42,Россети ао,-,-,-,-,-,-,-,-, 0.48013, 0.97745, 2.39501, 0.70402, 0.91880, 1.76320, 1.27987,3,7, 0.42900
42,Россети ап,-,-,-,-,-,-,-,-, 0.68011, 0.93810, 3.71321, 0.83793, 0.84989, 1.18094, 1.38680,3,7, 0.42900
43,Квадра-п,-,-,-,-,-, 0.50146, 0.88292, 0.53864, 1.01408, 0.68813, 1.54698, 0.89305, 0.83149, 1.06214, 1.22262,3,10, 0.30000
44,МОЭСК,-, 0.81143, 0.44580, 0.84718, 1.34950, 0.92131, 0.90045, 0.91138, 0.84393, 0.55477, 1.27920, 1.00962, 0.73226, 1.87576, 1.00517,3,14, 0.21400
45,FIVE-гдр,-,-,-,-,-,-,-,-,-,-,-,-,-, 1.25357, 1.31463,2,2, 1.00000
46,Белуга ао,-,-,-,-,-,-,-,-,-,-,-,-, 0.60682, 1.76031, 1.84733,2,3, 0.66700
46,ДетскийМир,-,-,-,-,-,-,-,-,-,-,-,-, 0.97553, 1.17288, 1.39817,2,3, 0.66700
47,Юнипро ао,-,-,-,-,-,-,-,-,-,-,-, 0.92424, 1.05903, 1.11509, 1.02395,2,4, 0.50000
48,ТРК ао,-,-,-,-,-,-,-,-,-,-, 1.80331, 0.76193, 0.82744, 1.30418, 0.85587,2,5, 0.40000
49,ЭнелРос ао,-,-,-,-,-,-,-,-,-, 0.92508, 1.32131, 1.50745, 0.74569, 0.97159, 1.00171,2,6, 0.33300
50,iQIWI,-,-,-,-,-,-,-,-, 0.59115, 1.03748, 0.60455, 1.17203, 0.99411, 1.26530, 0.65304,2,7, 0.28600
50,GTL ао,-,-,-,-,-,-,-,-, 0.15149, 5.82012, 1.65969, 0.45024, 0.43001, 0.75213, 0.95343,2,7, 0.28600
51,Мечел ап,-,-,-,-,-,-, 0.62849, 0.28074, 0.41402, 2.17620, 3.48628, 0.94135, 0.81801, 0.99904, 0.85502,2,9, 0.22200
52,МРСК СЗ,-,-,-, 3.88301, 0.90417, 0.33728, 0.74486, 0.41337, 0.81961, 0.95943, 2.06951, 0.94595, 1.02389, 0.98236, 1.02133,2,12, 0.16700
53,Левенгук,-,-,-,-,-,-,-,-,-,-,-,-,-,-, 1.18884,1,1, 1.00000
54,ТРК ап,-,-,-,-,-,-,-,-,-,-, 1.30336, 0.93800, 0.77001, 0.99473, 0.85453,1,5, 0.20000
55,Роллман-п,-,-,-,-,-,-,-,-,-, 1.07293, 0.97930, 0.50781, 0.53015, 0.74178, 0.70789,1,6, 0.16700
56,КузнецкийБ,-,-,-,-,-,-,-, 0.69880, 0.77647, 0.92105, 0.84366, 0.82955, 0.75477, 2.18665, 0.65204,1,8, 0.12500
57,ОР ао,-,-,-,-,-,-,-,-,-,-,-,-, 0.41253, 0.84771, 0.66629,0,3, 0.00000
57,САФМАР ао,-,-,-,-,-,-,-,-,-,-,-,-, 0.77141, 0.88164, 0.91485,0,3, 0.00000
