ADDRESS,BUY_AREA,RENT_AREA,ROOM_COUNT,SALE_PRICE,RENT
Донецкая ул. 19,39.2,42,1,7299000,24267
Волков пер. 17,42,44,2,15000000,41045
Раменки ул. 20,87,52,2,35000000,117115
Можайское ш. 2,235,150,3,48900000,156667
Серафимовича ул. 2,70,100,3,48986000,210000
Можайское ш. 2,235,176,3,48900000,293750
Тверская ул. 4,90,75,2,68000000,156000
Авиационная ул. 68,30.1,35,1,7300000,27520
Авиаторов ул. 30,37,38,1,9690000,29211
Смоленская ул. 10,48.3,48,2,21500000,55344
